supplier_id,name,tier,country,reports_data
S0126,Everest Fabrication,4,VN,yes
S0124,Kalpana Plastics,4,CN,yes
S0122,Crescent Components,4,AU,yes
S0127,Everest Materials,4,VN,yes
S0083,Lotus Assembly,3,DE,yes
S0053,Ironwood Logistics,3,US,yes
S0069,Granite Components,3,VN,no
S0156,Tata Extrusion,4,VN,yes
S0123,Ashgrove Fabrication,4,DE,yes
S0170,Kalpana Polymers,4,IN,yes
S0052,Blue Harbour Industries,3,AU,yes
S0058,Everest Plastics,3,DE,yes
S0186,Delta Casting,4,VN,yes
S0079,Sunrise Plastics,3,DE,no
S0135,Silverline Fabrication,4,CN,yes
S0175,Kalpana Fabrication,4,DE,yes
S0179,Everest Components,4,CN,yes
S0095,Meridian Materials,3,DE,yes
S0169,Ashgrove Supplies,4,CN,no
S0071,Lotus Fabrication,3,DE,yes
S0036,Crescent Metals,3,AU,yes
S0137,Pinnacle Logistics,4,AU,no
S0080,Sunrise Foundry,3,VN,yes
S0024,Delta Logistics,2,AU,yes
S0149,Blue Harbour Supplies,4,IN,yes
S0061,Everest Assembly,3,US,yes
S0185,Orion Assembly,4,VN,yes
S0093,Sunrise Materials,3,IN,yes
S0200,Tata Fabrication,4,AU,yes
S0041,Pinnacle Supplies,3,DE,yes
S0074,Crescent Polymers,3,VN,yes
S0003,Zenith Components,1,VN,yes
S0181,Silverline Logistics,4,VN,yes
S0034,Zenith Works,2,DE,yes
S0096,Kalpana Works,3,DE,yes
S0097,Lotus Materials,3,AU,yes
S0130,Blue Harbour Assembly,4,CN,yes
S0102,Everest Metals,3,VN,yes
S0081,Tata Polymers,3,CN,yes
S0088,Northwind Industries,3,DE,yes
S0193,Pinnacle Fabrication,4,US,no
S0150,Crescent Logistics,4,US,yes
S0158,Ashgrove Logistics,4,IN,yes
S0133,Silverline Polymers,4,VN,yes
S0109,Delta Assembly,4,US,yes
S0101,Delta Materials,3,VN,yes
S0184,Tata Supplies,4,VN,yes
S0115,Silverline Assembly,4,US,yes
S0047,Meridian Foundry,3,DE,yes
S0172,Ironwood Fabrication,4,US,yes
S0108,Vertex Industries,3,DE,yes
S0128,Vertex Supplies,4,VN,yes
S0143,Silverline Materials,4,AU,no
S0194,Granite Plastics,4,CN,no
S0199,Meridian Polymers,4,DE,yes
S0198,Tata Works,4,CN,yes
S0099,Ashgrove Plastics,3,VN,yes
S0196,Everest Foundry,4,DE,yes
S0111,Granite Extrusion,4,IN,yes
S0070,Blue Harbour Materials,3,IN,yes
S0142,Sunrise Works,4,CN,yes
S0091,Granite Materials,3,IN,yes
S0147,Pinnacle Extrusion,4,US,yes
S0051,Kalpana Metals,3,DE,no
S0144,Blue Harbour Components,4,AU,yes
S0183,Lotus Industries,4,IN,yes
S0120,Zenith Assembly,4,CN,yes
S0117,Northwind Casting,4,CN,yes
S0087,Everest Casting,3,IN,no
S0119,Lotus Casting,4,VN,yes
S0159,Granite Logistics,4,CN,yes
S0105,Tata Casting,3,DE,yes
S0072,Ashgrove Materials,3,CN,yes
S0134,Kalpana Extrusion,4,US,no
S0197,Vertex Polymers,4,AU,yes
S0174,Silverline Supplies,4,VN,no
S0190,Orion Components,4,US,yes
S0166,Blue Harbour Works,4,VN,yes
S0164,Granite Metals,4,DE,yes
S0154,Blue Harbour Foundry,4,US,yes
S0016,Silverline Industries,2,US,yes
S0168,Sunrise Casting,4,CN,yes
S0125,Orion Foundry,4,CN,no
S0118,Sunrise Assembly,4,CN,yes
S0132,Granite Supplies,4,US,yes
S0187,Delta Supplies,4,CN,yes
S0173,Granite Fabrication,4,US,yes
S0146,Everest Supplies,4,US,no
S0136,Everest Industries,4,IN,yes
S0038,Sunrise Supplies,3,AU,yes
S0162,Tata Foundry,4,CN,yes
S0188,Delta Foundry,4,US,yes
S0189,Vertex Foundry,4,CN,yes
S0094,Crescent Fabrication,3,DE,yes
S0153,Lotus Logistics,4,IN,yes
S0176,Lotus Supplies,4,IN,yes
S0155,Tata Logistics,4,US,yes
S0140,Ironwood Extrusion,4,IN,yes
S0121,Ironwood Assembly,4,DE,yes
S0182,Orion Supplies,4,IN,yes
S0138,Northwind Works,4,IN,yes
S0089,Northwind Fabrication,3,CN,yes
S0129,Vertex Fabrication,4,DE,yes
S0157,Pinnacle Foundry,4,US,yes
S0195,Crescent Extrusion,4,DE,yes
S0112,Blue Harbour Extrusion,4,DE,yes
S0110,Meridian Casting,4,US,yes
S0151,Vertex Assembly,4,DE,no
S0152,Ashgrove Polymers,4,AU,yes
