supplier_id,material_type,material_mass_kg,annual_spend_usd,employee_count,transport_distance_km,transport_mode,electricity_kwh
S0067,virgin_steel,18996.79907907476,231347.63,5,9581.5,road_hgv,493479.5462444143
S0048,cardboard,14342.372255703163,181239.32,5,577.7,road_hgv,368651.23146406974
S0191,virgin_aluminium,6079.405767413624,78543.19,5,3796.9,sea_freight,240527.56576814043
S0012,copper,18469.674340448062,140822.02,5,1018.8,road_hgv,251854.62523663606
S0106,virgin_plastic_pet,18349.66511053031,129600.54,5,8670.2,road_hgv,429261.9652088044
S0160,glass,13982.394341657056,173664.87,5,1758.2,sea_freight,369113.5980077055
S0064,virgin_steel,17974.30650297753,160705.98,5,4639.8,road_hgv,
S0066,virgin_plastic_pet,17628.663992588128,93708.16,5,3243.5,road_hgv,248679.68175662623
S0031,virgin_plastic_pet,42858.77532555751,255316.6,5,3030.1,road_hgv,197455.2028832395
S0090,virgin_plastic_pet,23041.423714257904,299076.95,5,997.1,sea_freight,236547.4006737053
S0167,virgin_aluminium,2926.1147200102946,14679.58,5,9439.5,road_hgv,253491.15093602872
S0161,virgin_aluminium,4714.506101891182,54843.09,5,7271.5,air_freight,210781.75250760236
S0010,virgin_steel,39425.296822655626,383390.8,5,518.4,road_hgv,313809.55195272237
S0114,virgin_aluminium,3247.8151152647174,26347.31,5,5374.2,road_hgv,232690.9282115164
S0116,virgin_steel,13456.364668587468,150023.89,5,5147.1,road_hgv,233021.43890693487
S0180,glass,3574.3935298189913,14207.1,5,2030.1,rail_freight,341045.5247320731
S0055,virgin_plastic_pet,8935.535843183206,48580.86,5,5212.1,sea_freight,463997.0464746538
S0002,cardboard,33320.157014649936,268084.89,5,8376.2,sea_freight,257026.57008715605
S0113,copper,11479.771338005208,86603.51,5,1257.5,air_freight,
S0059,glass,3225.615149879684,24012.48,5,3458.1,road_hgv,
S0073,virgin_plastic_pet,7881.883674415508,93716.9,5,2697.5,sea_freight,450692.5474885546
S0039,virgin_steel,9842.946984369673,112576.01,5,3779.7,road_hgv,289244.0956372112
S0050,virgin_steel,5270.002993588438,24043.48,5,2653.3,road_hgv,246685.1691714731
S0100,virgin_aluminium,6904.13945903834,63954.18,5,1132.5,road_hgv,
S0045,glass,10864.344494909788,109122.21,5,9560.1,rail_freight,447993.2606659873
S0104,virgin_steel,9355.64281145604,105870.63,5,3761.9,road_hgv,419048.1394305247
S0192,copper,10628.855624424152,136228.34,5,3722.3,air_freight,179495.92864381862
S0076,copper,6830.670515297735,28417.83,5,5157.7,road_hgv,213967.49731606184
S0131,copper,13316.494931520328,152327.96,5,7860.0,road_hgv,321481.23281588004
S0148,virgin_aluminium,9159.526525319196,94756.4,5,3237.0,road_hgv,167888.63194411734
S0092,copper,16468.84024048797,199707.13,5,2619.9,sea_freight,308769.5127261269
S0103,copper,19348.812879978253,153620.19,5,6829.4,road_hgv,
S0165,copper,10581.469151225605,96685.46,5,8605.7,road_hgv,
S0040,glass,13227.19731290878,86260.19,5,4652.0,road_hgv,235825.45381732745
S0046,cardboard,8513.238743796153,92776.63,5,10807.0,sea_freight,261755.56091982537
S0139,copper,10013.976314107287,37090.89,5,7518.2,road_hgv,178052.3833610129
S0063,virgin_aluminium,4277.624720311718,20163.87,5,5781.3,road_hgv,321129.5176692194
S0126,glass,3224.470308615433,28295.0,5,7942.5,air_freight,239775.85303889206
S0124,copper,10380.425070081768,66167.31,5,8400.3,air_freight,
S0122,virgin_steel,7896.4679566079185,42505.69,5,3262.5,road_hgv,226618.5408188097
S0127,copper,3076.586682698538,34851.77,5,3912.5,road_hgv,245769.9930199726
S0083,virgin_plastic_pet,14553.968786760961,86399.53,5,6319.3,road_hgv,296917.9168557759
S0053,glass,18429.356017663584,72968.38,5,10281.1,sea_freight,380490.33363192814
S0069,virgin_steel,18202.97610158481,159404.72,5,7447.7,road_hgv,
S0156,virgin_aluminium,4859.4529610867385,59509.07,5,6135.2,sea_freight,168544.97441848295
S0123,copper,9561.465360485445,93537.33,5,6230.0,road_hgv,324987.8816082797
S0170,virgin_steel,3431.537250323371,38743.67,5,2936.0,rail_freight,221918.81810193948
S0052,copper,12967.965430116727,117196.61,5,1093.3,sea_freight,164577.60168078315
S0058,virgin_steel,12968.11475723815,118217.65,5,3706.3,road_hgv,317145.2709667987
S0186,glass,2198.0952273611847,10867.88,5,10311.2,rail_freight,240296.55671129754
S0079,glass,18128.710746529945,68182.23,5,10532.4,road_hgv,
S0135,copper,12138.403494899303,134246.69,5,9394.4,road_hgv,159209.092562762
S0175,glass,11762.049373203696,98330.71,5,10049.9,road_hgv,316880.0659991497
S0179,virgin_steel,4000.8220128987755,50263.97,5,7742.1,air_freight,208172.85836920375
S0095,glass,20435.56589399494,213634.08,5,10874.6,road_hgv,254489.9502755267
S0169,copper,8765.50202758842,36802.17,5,1441.4,sea_freight,
S0071,cardboard,11751.098717632603,108823.64,5,485.3,road_hgv,351804.99181203614
S0036,glass,14731.767612669797,139967.87,5,9099.4,rail_freight,178896.629129837
S0137,copper,4329.69010998155,26859.72,5,10268.1,road_hgv,
S0080,virgin_steel,23099.561740198984,283135.32,5,2345.1,rail_freight,126965.68364499333
S0024,cardboard,25304.3269123171,211656.56,5,1523.9,sea_freight,176338.9044183797
S0149,copper,7105.034213060753,87476.64,5,979.8,road_hgv,150342.39652255524
S0061,virgin_steel,12983.296347916257,145269.39,5,8360.0,sea_freight,276250.7943721595
S0185,virgin_steel,6538.188460135273,76165.8,5,6352.4,sea_freight,
S0093,cardboard,21541.582106675316,84591.47,5,6251.0,sea_freight,158253.598088477
S0200,glass,10290.579918691667,115768.99,5,10697.2,sea_freight,174375.70075301846
S0041,cardboard,21218.487991620932,122319.62,5,6413.8,sea_freight,293723.01331720245
S0074,cardboard,13883.689114395796,139187.08,5,2025.4,sea_freight,186170.10433586402
S0003,glass,10321.092427169302,48159.12,5,5862.2,sea_freight,180059.09099441566
S0181,virgin_aluminium,4709.8271854198965,48915.34,5,1539.7,road_hgv,109885.59772080982
S0034,glass,22999.761447380613,229224.86,5,9290.2,rail_freight,235616.44562304099
S0096,glass,18570.918128773526,171598.47,5,6798.9,rail_freight,
S0097,virgin_plastic_pet,3605.901552439454,36182.13,5,4818.5,sea_freight,170542.7722003074
S0130,virgin_plastic_pet,14071.990614511453,68903.51,5,8989.2,sea_freight,128749.79431606007
S0102,glass,6531.817169621183,49592.3,5,4849.3,air_freight,146797.02222999965
S0081,glass,9710.145397716602,77840.4,5,9725.0,road_hgv,164191.5910719021
S0088,glass,14519.076016054889,144910.28,5,8967.2,air_freight,50024.486125623545
S0193,copper,10537.218547576962,43043.46,5,2704.5,road_hgv,
S0150,virgin_steel,8520.107791381657,89535.68,5,7721.6,air_freight,150412.0825125531
S0158,cardboard,13105.396157533944,82326.32,5,5180.2,air_freight,88824.99827224118
S0133,copper,8259.531964496788,90242.69,5,146.9,road_hgv,126064.04648583526
S0109,virgin_steel,10763.498912241452,132465.23,5,5631.9,road_hgv,216500.33417394847
S0101,virgin_plastic_pet,21043.27750248345,124329.65,5,10920.9,rail_freight,58911.63998146538
S0184,copper,9934.882715459713,91175.39,5,2548.8,sea_freight,113029.331832442
S0115,copper,10848.217165795999,50431.88,5,3852.7,air_freight,116778.38831861994
S0047,cardboard,7319.866165082738,34893.81,5,3095.2,sea_freight,276065.7282930081
S0172,copper,2427.1132559184493,16888.53,5,4762.1,road_hgv,267605.10247166036
S0108,virgin_plastic_pet,20365.133268389953,122234.23,5,3414.8,road_hgv,94595.1475711857
S0128,copper,12645.667726376607,118597.8,5,9488.2,rail_freight,85433.08248480232
S0143,copper,12578.86872739294,159897.05,5,4298.3,rail_freight,
S0194,glass,8686.607531769409,82683.94,5,9084.0,road_hgv,
S0199,copper,8975.754614553403,76259.77,5,6334.9,air_freight,93957.37143558385
S0198,glass,6984.7761046072965,70572.52,5,10626.0,rail_freight,160115.25931126994
S0099,cardboard,6211.809148409565,28459.57,5,8403.4,road_hgv,146939.13187388814
S0196,copper,13016.795398822374,52555.45,5,2150.0,road_hgv,130567.20493520434
S0111,virgin_steel,10040.556541720758,107668.11,5,4467.8,rail_freight,106619.56469673137
S0070,glass,10915.613473265359,42793.89,5,8448.5,sea_freight,119176.98009434639
S0142,glass,8857.53731009274,83556.97,5,10128.4,sea_freight,148774.16309336046
S0091,cardboard,18866.287174950186,157270.56,5,1984.7,air_freight,
S0147,virgin_plastic_pet,3447.465476608597,37543.94,5,10504.4,sea_freight,232888.13956321034
S0051,virgin_plastic_pet,17983.465233091538,134127.65,5,10228.6,rail_freight,
S0144,virgin_plastic_pet,11714.762451419432,146482.76,5,3219.9,sea_freight,88469.69927466636
S0183,cardboard,13606.936182689995,150942.85,5,10441.8,road_hgv,92665.49273243773
S0120,virgin_plastic_pet,6207.030680523997,61837.7,5,6541.0,sea_freight,120817.53762601753
S0117,cardboard,4105.599876431278,29920.58,5,6563.2,road_hgv,141688.59118179197
S0087,glass,12519.784963016182,47134.07,5,7293.0,sea_freight,
S0119,virgin_steel,7531.21381760483,68977.86,5,6771.0,rail_freight,105394.53476827606
S0159,virgin_plastic_pet,5897.425782104917,47160.44,5,6895.2,road_hgv,107046.93891824684
S0105,cardboard,23353.51739803405,298067.28,5,10614.6,road_hgv,103808.53141163183
S0072,cardboard,21220.827449856577,104818.83,5,8563.6,sea_freight,108536.27785162261
S0134,cardboard,2960.260855109247,21821.85,5,8777.0,sea_freight,
S0197,copper,7625.389455516229,52328.65,5,1052.5,rail_freight,75322.29242030514
S0174,copper,2556.828748728758,24474.04,5,5840.9,sea_freight,
S0190,glass,9957.331559380453,125483.84,5,3587.6,road_hgv,148997.30758847506
S0166,virgin_steel,3117.253435433006,24910.93,5,5036.9,sea_freight,101236.6703993464
S0164,virgin_steel,9784.808958428599,114001.37,5,3293.4,road_hgv,113216.18983705057
S0154,virgin_plastic_pet,8362.866332522191,98101.47,5,723.2,rail_freight,113087.46985838309
S0016,copper,6809.067858398397,68282.48,5,6703.4,rail_freight,110071.80864122554
S0168,cardboard,4905.445714485329,36470.21,5,458.2,sea_freight,111352.28870743628
S0125,virgin_plastic_pet,4612.266799422888,38924.92,5,5509.0,sea_freight,
S0118,cardboard,4486.234708941037,31718.44,5,5961.4,sea_freight,102404.10983463918
S0132,cardboard,6717.779211501196,73064.59,5,8765.2,air_freight,55628.43433842317
S0187,cardboard,2767.877747008002,29069.36,5,7409.9,sea_freight,94850.29784599217
S0173,virgin_steel,5241.133083446466,62640.62,5,5547.9,rail_freight,113750.83070745559
S0146,virgin_steel,7999.553446097616,103471.98,5,10757.3,rail_freight,
S0136,cardboard,11353.241490451945,89995.21,5,1838.9,sea_freight,
S0038,glass,11377.880465486904,137097.66,5,1740.5,rail_freight,55689.55890679273
S0162,cardboard,5649.194330591098,35355.1,5,1669.0,sea_freight,78594.2487535334
S0188,virgin_plastic_pet,7394.231071551887,53684.91,5,133.9,road_hgv,66325.28357880238
S0189,cardboard,7055.855814405118,78063.82,5,9137.4,road_hgv,62250.04688372732
S0094,virgin_plastic_pet,3313.8674786412644,29630.34,5,3376.1,sea_freight,96728.5841549703
S0153,virgin_plastic_pet,3886.2383350594314,43670.52,5,439.4,sea_freight,48095.37881965411
S0176,copper,5184.139898769641,41836.19,5,8918.2,road_hgv,29576.078099186143
S0155,virgin_steel,6403.993153682245,25821.18,5,5656.0,road_hgv,71932.71609110192
S0140,cardboard,6101.555957091517,68498.23,5,1091.9,road_hgv,55543.51698204006
S0121,virgin_plastic_pet,3270.3137348925993,23674.94,5,1620.0,road_hgv,81864.36338559743
S0182,virgin_plastic_pet,2538.9592698650204,10920.3,5,4090.0,rail_freight,46922.31472945436
S0138,cardboard,6313.052936735033,67848.86,5,8018.8,rail_freight,
S0089,virgin_steel,5223.811137361283,38467.41,5,3028.5,sea_freight,47537.044712649804
S0129,copper,3873.893959688381,33716.31,5,3178.2,road_hgv,
S0157,cardboard,10016.713978000062,47515.77,5,6338.3,sea_freight,76206.50808196374
S0195,copper,4296.539489025424,31662.28,5,3474.9,sea_freight,
S0112,copper,3120.837286347182,22310.22,5,2524.8,rail_freight,44619.54118997496
S0110,cardboard,7038.882298269924,32723.25,5,10068.7,rail_freight,30424.7041302387
S0151,virgin_steel,2518.2525756942264,26742.73,5,3485.1,rail_freight,
S0152,cardboard,3995.1475822846637,45475.27,5,5747.4,road_hgv,10136.225450846398
