parent_id,child_id,allocation_share
S0024,S0057,0.3333
S0023,S0057,0.3333
S0025,S0058,0.5
S0027,S0058,0.5
S0023,S0059,1.0
S0016,S0060,0.3333
S0028,S0060,0.3333
S0010,S0060,0.3333
S0034,S0061,0.3333
S0030,S0061,0.3333
S0025,S0061,0.3333
S0023,S0062,0.5
S0029,S0062,0.5
S0010,S0063,1.0
S0021,S0064,0.5
S0022,S0064,0.5
S0012,S0065,0.3333
S0024,S0065,0.3333
S0031,S0065,0.3333
S0011,S0066,0.5
S0019,S0066,0.5
S0013,S0067,0.3333
S0011,S0067,0.3333
S0017,S0067,0.3333
S0029,S0068,0.3333
S0027,S0068,0.3333
S0026,S0068,0.3333
S0019,S0069,0.3333
S0021,S0069,0.3333
S0028,S0069,0.3333
S0018,S0070,0.3333
S0023,S0070,0.3333
S0025,S0070,0.3333
S0022,S0071,0.3333
S0012,S0071,0.3333
S0034,S0071,0.3333
S0012,S0072,0.3333
S0029,S0072,0.3333
S0033,S0072,0.3333
S0032,S0073,0.3333
S0015,S0073,0.3333
S0022,S0073,0.3333
S0016,S0074,0.5
S0022,S0074,0.5
S0023,S0075,0.5
S0021,S0075,0.5
S0032,S0076,0.5
S0012,S0076,0.5
S0022,S0077,0.5
S0019,S0077,0.5
S0017,S0078,0.3333
S0020,S0078,0.3333
S0013,S0078,0.3333
S0024,S0079,0.3333
S0011,S0079,0.3333
S0022,S0079,0.3333
S0032,S0080,1.0
S0020,S0081,0.3333
S0034,S0081,0.3333
S0013,S0081,0.3333
S0010,S0082,0.3333
S0027,S0082,0.3333
S0026,S0082,0.3333
S0019,S0083,0.3333
S0030,S0083,0.3333
S0012,S0083,0.3333
S0020,S0084,0.5
S0030,S0084,0.5
S0032,S0085,0.5
S0010,S0085,0.5
S0028,S0086,0.5
S0018,S0086,0.5
S0012,S0087,0.5
S0027,S0087,0.5
S0015,S0088,0.3333
S0013,S0088,0.3333
S0030,S0088,0.3333
S0016,S0089,0.5
S0012,S0089,0.5
S0026,S0090,0.5
S0020,S0090,0.5
S0033,S0091,1.0
S0027,S0092,0.5
S0016,S0092,0.5
S0026,S0093,0.5
S0033,S0093,0.5
S0028,S0094,0.3333
S0030,S0094,0.3333
S0029,S0094,0.3333
S0009,S0095,0.3333
S0028,S0095,0.3333
S0030,S0095,0.3333
S0017,S0096,0.3333
S0009,S0096,0.3333
S0014,S0096,0.3333
S0031,S0097,0.5
S0033,S0097,0.5
S0019,S0098,0.5
S0020,S0098,0.5
S0014,S0099,1.0
S0027,S0100,1.0
S0021,S0101,0.3333
S0011,S0101,0.3333
S0013,S0101,0.3333
S0029,S0102,0.3333
S0009,S0102,0.3333
S0011,S0102,0.3333
S0025,S0103,0.3333
S0015,S0103,0.3333
S0021,S0103,0.3333
S0023,S0104,0.5
S0019,S0104,0.5
S0020,S0105,1.0
S0032,S0106,0.5
S0019,S0106,0.5
S0028,S0107,0.3333
S0011,S0107,0.3333
S0010,S0107,0.3333
S0014,S0108,1.0
S0041,S0109,0.3333
S0045,S0109,0.3333
S0069,S0109,0.3333
S0089,S0110,0.5
S0097,S0110,0.5
S0091,S0111,0.3333
S0088,S0111,0.3333
S0069,S0111,0.3333
S0100,S0112,1.0
S0079,S0113,1.0
S0049,S0114,0.5
S0071,S0114,0.5
S0097,S0115,0.3333
S0102,S0115,0.3333
S0074,S0115,0.3333
S0063,S0116,1.0
S0042,S0117,0.5
S0035,S0117,0.5
S0073,S0118,1.0
S0052,S0119,1.0
S0072,S0120,0.5
S0076,S0120,0.5
S0035,S0121,1.0
S0090,S0122,0.5
S0057,S0122,0.5
S0083,S0123,1.0
S0064,S0124,0.3333
S0099,S0124,0.3333
S0106,S0124,0.3333
S0080,S0125,0.3333
S0044,S0125,0.3333
S0085,S0125,0.3333
S0040,S0126,0.3333
S0090,S0126,0.3333
S0037,S0126,0.3333
S0044,S0127,0.5
S0075,S0127,0.5
S0089,S0128,0.3333
S0108,S0128,0.3333
S0086,S0128,0.3333
S0088,S0129,0.3333
S0072,S0129,0.3333
S0049,S0129,0.3333
S0037,S0130,0.5
S0076,S0130,0.5
S0093,S0131,1.0
S0081,S0132,0.3333
S0046,S0132,0.3333
S0090,S0132,0.3333
S0066,S0133,1.0
S0086,S0134,0.5
S0102,S0134,0.5
S0085,S0135,1.0
S0078,S0136,0.5
S0063,S0136,0.5
S0056,S0137,0.5
S0044,S0137,0.5
S0049,S0138,0.3333
S0102,S0138,0.3333
S0100,S0138,0.3333
S0079,S0139,1.0
S0053,S0140,0.5
S0065,S0140,0.5
S0053,S0141,1.0
S0060,S0142,0.5
S0057,S0142,0.5
S0054,S0143,0.3333
S0044,S0143,0.3333
S0057,S0143,0.3333
S0098,S0144,0.3333
S0094,S0144,0.3333
S0107,S0144,0.3333
S0092,S0145,0.3333
S0107,S0145,0.3333
S0076,S0145,0.3333
S0075,S0146,0.3333
S0054,S0146,0.3333
S0091,S0146,0.3333
S0095,S0147,1.0
S0073,S0148,0.5
S0070,S0148,0.5
S0042,S0149,0.3333
S0080,S0149,0.3333
S0099,S0149,0.3333
S0074,S0150,1.0
S0092,S0151,0.5
S0039,S0151,0.5
S0082,S0152,1.0
S0044,S0153,0.5
S0046,S0153,0.5
S0099,S0154,0.3333
S0084,S0154,0.3333
S0094,S0154,0.3333
S0105,S0155,0.3333
S0040,S0155,0.3333
S0092,S0155,0.3333
S0059,S0156,0.3333
S0076,S0156,0.3333
S0095,S0156,0.3333
S0054,S0157,0.3333
S0042,S0157,0.3333
S0092,S0157,0.3333
S0078,S0158,1.0
S0045,S0159,0.3333
S0099,S0159,0.3333
S0057,S0159,0.3333
S0066,S0160,1.0
S0091,S0161,0.3333
S0102,S0161,0.3333
S0101,S0161,0.3333
S0055,S0162,0.3333
S0081,S0162,0.3333
S0082,S0162,0.3333
S0084,S0163,0.5
S0087,S0163,0.5
S0041,S0164,0.5
S0077,S0164,0.5
S0077,S0165,1.0
S0106,S0166,1.0
S0084,S0167,0.3333
S0071,S0167,0.3333
S0067,S0167,0.3333
S0054,S0168,0.3333
S0077,S0168,0.3333
S0045,S0168,0.3333
S0053,S0169,0.3333
S0079,S0169,0.3333
S0074,S0169,0.3333
S0085,S0170,0.3333
S0051,S0170,0.3333
S0045,S0170,0.3333
S0106,S0171,0.5
S0083,S0171,0.5
S0077,S0172,0.3333
S0051,S0172,0.3333
S0102,S0172,0.3333
S0089,S0173,1.0
S0081,S0174,0.3333
S0037,S0174,0.3333
S0074,S0174,0.3333
S0062,S0175,1.0
S0097,S0176,0.5
S0059,S0176,0.5
S0052,S0177,1.0
S0044,S0178,1.0
S0047,S0179,0.5
S0099,S0179,0.5
S0102,S0180,0.3333
S0039,S0180,0.3333
S0078,S0180,0.3333
S0051,S0181,0.3333
S0083,S0181,0.3333
S0054,S0181,0.3333
S0058,S0182,1.0
S0056,S0183,0.3333
S0091,S0183,0.3333
S0040,S0183,0.3333
S0081,S0184,0.5
S0065,S0184,0.5
S0071,S0185,0.5
S0092,S0185,0.5
S0103,S0186,1.0
S0074,S0187,1.0
S0059,S0188,0.5
S0082,S0188,0.5
S0108,S0189,0.3333
S0091,S0189,0.3333
S0094,S0189,0.3333
S0083,S0190,0.5
S0099,S0190,0.5
S0088,S0191,0.3333
S0055,S0191,0.3333
S0060,S0191,0.3333
S0052,S0192,0.3333
S0067,S0192,0.3333
S0041,S0192,0.3333
S0096,S0193,0.3333
S0082,S0193,0.3333
S0105,S0193,0.3333
S0101,S0194,1.0
S0071,S0195,1.0
S0055,S0196,1.0
S0092,S0197,0.5
S0100,S0197,0.5
S0090,S0198,1.0
S0063,S0199,1.0
S0079,S0200,0.5
S0038,S0200,0.5
